household_key,department_total,commodity_total,commodity_sub_total,quantity_average,quantity_min,quantity_max,sales_total,sales_min_item,sales_max_item,coupon_total,coupon_average_item,coupon_min_item,coupon_max_item,num_national,num_products,national_brand_percent,PAlive,AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,clv,cluster
13,16,162,373,793.7942930153322,0,31721,13190.92,0,77.97,-2013.31,-0.8574574105621806,-13.45,0,1638,2348,0.6976149914821125,0.9998187315813177,25-34,U,75-99K,Homeowner,2 Adults Kids,4,2,12829.047145966979,2
14,12,115,226,127.63754045307444,0,10757,2761.19,0,30,-611.31,-0.6594498381877023,-12.86,0,630,927,0.6796116504854369,0.9992710290024355,NA,NA,NA,NA,NA,NA,NA,2548.3520371381037,1
15,14,91,146,1.5048543689320388,0,21,972.53,0,31.57,-161.09,-0.521326860841424,-15.64,0,213,309,0.6893203883495146,0.9995360699344258,NA,NA,NA,NA,NA,NA,NA,920.2999122911446,4
16,10,109,191,157.05996131528047,1,11613,1512.02,0.38,28.1,-172.29,-0.3332495164410058,-11.24,0,407,517,0.7872340425531915,0.9909307832326939,45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown,785.1377918555759,1
17,12,122,238,286.7742248062016,0,16998,5139.63,0,103.32,-1186.06,-1.1492829457364342,-57.31,0,667,1032,0.6463178294573644,0.9896766993382352,65+,B,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,2504.1412097803927,3
18,14,144,324,137.98202009518772,0,15005,7118.91,0,71.49,-1031.34,-0.5453939714436806,-13.32,0,1422,1891,0.7519830777366473,1.0000000000000853,45-54,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,7049.116764765981,3
19,20,177,501,113.92832544123978,0,15332,11299.61,0,40,-3069.7400000000002,-0.6607275075333621,-11.46,0,3365,4646,0.7242789496340939,0.999999999999865,35-44,B,15-24K,Unknown,Single Female,1,None/Unknown,11188.82950965286,3
20,14,116,227,233.5712187958884,0,16430,7486.11,0,43.5,-842.32,-0.4122956436612824,-7,0,1166,2043,0.570729319627998,0.9999999999998721,25-34,A,75-99K,Renter,2 Adults No Kids,2,None/Unknown,7412.716764611069,3
21,10,87,136,139.57194244604315,0,10004,870.11,0,27.17,-166.66,-0.5994964028776979,-7.51,0,128,278,0.460431654676259,0.9967050531715907,NA,NA,NA,NA,NA,NA,NA,648.050361482348,1
22,17,145,337,265.86063569682153,0,28092,6256.04,0,58.74,-880.52,-0.5382151589242054,-13.99,0,1301,1636,0.7952322738386308,1.0000000000000426,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,6194.706274536208,2
23,12,129,239,222.55186170212767,0,15841,3158.58,0,45.37,-278.98,-0.3709840425531915,-6.45,0,629,752,0.836436170212766,0.9999999999999574,NA,NA,NA,NA,NA,NA,NA,3127.613529398428,3
24,9,95,183,1.5434083601286173,1,10,1911.11,0,19.99,-442.64,-0.7116398713826366,-13,0,380,622,0.6109324758842444,0.999859696083047,NA,NA,NA,NA,NA,NA,NA,1866.1902473033697,4
25,13,115,211,36.69381746810598,0,14007,3149.65,0,74.68,-567.32,-0.5567419038272816,-20,0,692,1019,0.6790971540726202,0.9994509826966104,35-44,U,50-74K,Unknown,Unknown,1,None/Unknown,2956.4565008621607,1
26,12,118,244,1.2796610169491525,1,6,1937.39,0.25,26.64,-321.64,-0.3893946731234867,-13.42,0,469,826,0.5677966101694916,0.9993842893240165,NA,NA,NA,NA,NA,NA,NA,1807.1291116969119,4
27,11,89,172,1.2526104417670683,0,7,5736.24,0,15.16,-497.85,-0.19993975903614458,-11.24,0,2139,2490,0.8590361445783132,0.9999999999999147,45-54,U,25-34K,Probable Renter,Single Female,1,None/Unknown,5680.00235289274,4
28,14,114,199,51.58712715855573,0,14179,2119.62,0,40.54,-311.19,-0.4885243328100471,-11.99,0,565,637,0.8869701726844584,0.9983762801558282,NA,NA,NA,NA,NA,NA,NA,1805.652097522879,1
29,14,89,147,1.408421052631579,0,7,1343.03,0,16.99,-301.99,-0.6357684210526315,-8.55,0,299,475,0.6294736842105263,0.999863378969762,NA,NA,NA,NA,NA,NA,NA,1311.9391908296052,4
30,13,68,91,443.958904109589,0,12627,622.8,0,30,-103.89,-0.7115753424657534,-16.52,0,85,146,0.5821917808219178,1.000000000000007,NA,NA,NA,NA,NA,NA,NA,616.6941176474965,1
31,14,137,290,340.66913123844733,0,18530,4396.9,0,54.53,-1285.88,-1.1884288354898336,-26.9,0,846,1082,0.7818853974121996,0.999932526263184,35-44,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,4324.6133549207925,3
32,14,153,331,268.87792472024415,1,18482,3381.82,0,51.33,-394.98,-0.40181078331637843,-6,0,701,983,0.7131230925737538,1,NA,NA,NA,NA,NA,NA,NA,3348.6649019607817,3
33,12,76,136,89.16358024691358,0,8624,1200.74,0,31.8,-274.93,-0.8485493827160494,-19.98,0,176,324,0.5432098765432098,1.0000000000000142,NA,NA,NA,NA,NA,NA,NA,1188.9680392173748,1
